,LR pairs,tech,organ,regulate,logFC,FDR
245,Apoe-Lrp6,Visium,Brain,Up,0.350924632,0.031430187
246,Bmp4-Bmpr1b,Visium,Brain,Down,-0.661132027,0.031623636
247,Lamb3-Cd44,Visium,Brain,Up,0.885196847,0.034274133
248,Lamc3-Sv2c,Visium,Brain,Down,-0.504346364,0.034298082
249,Dcn-Egfr,Visium,Brain,Down,-0.787952206,0.037795787
250,Wnt4-Fzd5,Visium,Brain,Down,-0.997989739,0.037795787
251,Adm-Ramp3,Visium,Brain,Up,0.823355315,0.037926479
252,Adam12-Itga9,Visium,Brain,Down,-0.946154225,0.037926479
253,Wnt3-Fzd1,Visium,Brain,Up,0.612409173,0.037926479
254,Wnt7b-Frzb,Visium,Brain,Down,-0.590346758,0.038122853
255,Wnt9a-Frzb,Visium,Brain,Down,-0.543383778,0.038188856
256,Lrpap1-Lrp2,Visium,Brain,Down,-1.099601693,0.03837676
257,Clec11a-Itga10,Visium,Brain,Down,-0.645794338,0.039755358
258,Icam4-Itgam,Visium,Brain,Up,0.59003475,0.040623681
259,Tgfb1-Eng,Visium,Brain,Up,0.452717814,0.04112766
260,Gdf10-Bmpr1b,Visium,Brain,Down,-0.476601436,0.041266229
261,Wnt5a-Ror2,Visium,Brain,Down,-1.141842993,0.041963684
262,Hcrt-Hcrtr2,Visium,Brain,Up,2.988573568,0.044030081
263,Col4a1-Cd93,Visium,Brain,Down,-0.5398862,0.044030081
264,Slit2-Robo4,Visium,Brain,Down,-0.488025903,0.044436659
265,Fgf3-Fgfr3,Visium,Brain,Down,-0.748280546,0.045053471
266,Ddc-Htr7,Visium,Brain,Down,-0.574967007,0.046944423
267,Pf4-Ldlr,Visium,Brain,Down,-0.633210027,0.047085135
268,Ddc-Htr2a,Visium,Brain,Down,-0.553676404,0.047509847
269,Ddc-Drd1,Visium,Brain,Down,-0.524455429,0.04759591
270,Col3a1-Adgrg1,Visium,Brain,Down,-0.645647065,0.04759591
271,Wnt4-Sfrp1,Visium,Brain,Down,-0.628278689,0.047699275
272,Adam17-Tnfrsf1b,Visium,Brain,Up,0.570184822,0.048794231
273,Col2a1-Cd44,Visium,Brain,Up,1.011045827,0.049244482
274,C1qa-Cd33,STomics,Brain,Up,1.276908898,2.39367854433788e-07
275,C4b-Cd46,STomics,Brain,Up,2.362584421,3.28859789127858e-06
276,Lcn2-Slc22a17,STomics,Brain,Up,1.961963007,3.28859789127858e-06
277,C4b-C5ar2,STomics,Brain,Up,3.251553664,3.33563699301302e-06
278,C1qb-Cd33,STomics,Brain,Up,0.985774134,6.30678152195549e-06
279,Apod-Lepr,STomics,Brain,Up,0.977011167,1.16465395588043e-05
280,C3-Itgb2,STomics,Brain,Up,2.384601585,2.33484366009077e-05
281,C1qa-Cspg4,STomics,Brain,Up,0.73579147,2.80738445010548e-05
282,Lgals3-Mertk,STomics,Brain,Up,1.780867705,2.86458317470769e-05
283,Adam10-Gpnmb,STomics,Brain,Up,1.582221441,6.73696143639193e-05
284,Avp-Oxtr,STomics,Brain,Down,-3.424908373,6.93963908953458e-05
285,Col3a1-Mag,STomics,Brain,Down,-1.147673789,0.000106099
286,Hsp90b1-Tlr2,STomics,Brain,Up,0.925152797,0.000163672
287,Lta4h-Gpr17,STomics,Brain,Down,-1.183771328,0.000180268
288,Il16-Kcnj4,STomics,Brain,Up,1.042165966,0.000435879
289,Lgals3-Mag,STomics,Brain,Up,1.649270769,0.000435879
290,Wnt1-Ryk,STomics,Brain,Up,1.51602798,0.000705068
291,Icam5-Itgb2,STomics,Brain,Up,1.014483347,0.000705068
292,Ptges3-Ptger4,STomics,Brain,Up,0.73540732,0.000782969
293,C3-Itgam,STomics,Brain,Up,1.518001054,0.000845812
294,Icam5-Cd209f,STomics,Brain,Up,1.649496788,0.000867035
295,Hras-Tlr2,STomics,Brain,Up,0.880924717,0.000890576
296,Col4a4-Sdc4,STomics,Brain,Up,0.927695647,0.001205786
297,Ptges2-Ptger4,STomics,Brain,Up,0.870561881,0.001266161
298,Timp1-Itgb1,STomics,Brain,Up,1.409664327,0.001591495
299,Timp1-Cd63,STomics,Brain,Up,1.844829376,0.001681077
300,C3-C3ar1,STomics,Brain,Up,1.891985863,0.001884654
301,Fgf2-Nrp1,STomics,Brain,Up,0.668521162,0.002101421
302,Penk-Ghsr,STomics,Brain,Down,-1.309218037,0.002111252
303,Cxcl12-Gpr17,STomics,Brain,Down,-1.243252295,0.002331604
304,Col3a1-Ddr1,STomics,Brain,Down,-1.112366817,0.002442846
305,Fgf2-Itgav,STomics,Brain,Up,0.626833364,0.00244765
306,Mpzl1-Mpzl1,STomics,Brain,Down,-0.689859711,0.002796422
307,Cd84-Cd84,STomics,Brain,Up,1.837568156,0.002799315
308,Lgals3-Itgb4,STomics,Brain,Up,1.93494533,0.003819095
309,Sema4d-Ptprc,STomics,Brain,Up,0.697176365,0.003994193
310,Thbs1-Itgb1,STomics,Brain,Up,0.980463976,0.003994193
311,Bsg-Itgb2,STomics,Brain,Up,0.680190757,0.00467612
312,Spp1-Itgb5,STomics,Brain,Up,0.802553778,0.005754624
313,Lgals3bp-Itgb1,STomics,Brain,Up,0.557664673,0.005754624
314,C3-Cd81,STomics,Brain,Up,0.832240873,0.005754624
315,Madcam1-Cd44,STomics,Brain,Up,1.322338871,0.005754624
316,Lgals3-Itgb1,STomics,Brain,Up,1.289845008,0.005754624
317,Thbs1-Sdc4,STomics,Brain,Up,0.856989402,0.005937806
318,Mcam-Mcam,STomics,Brain,Down,-0.545749038,0.008220594
319,Nectin1-Nectin4,STomics,Brain,Up,0.657491899,0.008220594
320,Timp1-Lrp1,STomics,Brain,Up,1.170919951,0.008230941
321,Hmgb1-Tlr2,STomics,Brain,Up,0.944874911,0.008404202
322,Wnt1-Frzb,STomics,Brain,Up,1.438903976,0.008527332
323,Tgfb1-Tgfbr3,STomics,Brain,Up,1.205296581,0.008527332
324,Fn1-Sdc1,STomics,Brain,Down,-1.142811787,0.008527332
325,Vip-Npr3,STomics,Brain,Up,0.78773839,0.008527332
326,Vcam1-Itgb2,STomics,Brain,Up,0.811611632,0.008542069
327,Spp1-Itgav,STomics,Brain,Up,0.537664028,0.008663976
328,Jam3-Itgb2,STomics,Brain,Up,0.649378026,0.00893613
329,Matn1-Itgb1,STomics,Brain,Down,-1.494088747,0.00893613
330,C3-Lrp1,STomics,Brain,Up,0.892119865,0.009005772
331,C3-Nrp1,STomics,Brain,Up,1.341939164,0.009005772
332,Cdh3-Cdh3,STomics,Brain,Up,2.233439591,0.009005772
