,gene,tech,organ,regulate,logFC,FDR
3763,Folh1,STomics,Kidney,Down,-2.05072810609766,0.001591699097029
3764,Dync1li2,STomics,Kidney,Up,0.704462817833035,0.0015944441331159
3765,Sptbn2,STomics,Kidney,Up,1.11683333052496,0.0016103314139245
3766,Icam1,STomics,Kidney,Up,0.732104593203295,0.0016103314139245
3767,Stard4,STomics,Kidney,Down,-0.882119828814711,0.0016315035732679
3768,Pex3,STomics,Kidney,Down,-0.652737398524929,0.0016554098808287
3769,Kng2,STomics,Kidney,Up,0.737500825663737,0.0016554098808287
3770,Pde4a,STomics,Kidney,Up,0.871104318144065,0.0016554098808287
3771,Gk,STomics,Kidney,Down,-0.962116078507554,0.0016676242717544
3772,Cldnd1,STomics,Kidney,Down,-0.960426119300488,0.001667768653372
3773,Lrrc4c,STomics,Kidney,Up,2.73846988171823,0.001683588996982
3774,Tmem126a,STomics,Kidney,Down,-1.01428302252735,0.001683588996982
3775,Mat2a,STomics,Kidney,Up,0.702021984810619,0.001683588996982
3776,Gapdh,STomics,Kidney,Down,-0.76470478643841,0.001683588996982
3777,Slc2a2,STomics,Kidney,Down,-1.67586576578031,0.001683588996982
3778,Ptprn2,STomics,Kidney,Up,2.05451204984819,0.001683588996982
3779,Aplp2,STomics,Kidney,Up,0.821421617611289,0.001683588996982
3780,Jak3,STomics,Kidney,Up,0.889120412070039,0.0016976251961888
3781,Elf4,STomics,Kidney,Up,1.06794117951247,0.0017150702085167
3782,Lamc2,STomics,Kidney,Up,0.940695550763022,0.0017368930998839
3783,Niban1,STomics,Kidney,Up,0.779746003770913,0.0017368930998839
3784,Rasa4,STomics,Kidney,Up,0.796506662331074,0.0017368930998839
3785,Ildr2,STomics,Kidney,Down,-1.00564347455586,0.0017392446977572
3786,D130009I18Rik,STomics,Kidney,Up,1.1328964250482,0.0017456976995305
3787,Fbxo9,STomics,Kidney,Up,0.707332758045723,0.0017471989172416
3788,Fitm1,STomics,Kidney,Down,-1.35525447076123,0.0017471989172416
3789,Arsg,STomics,Kidney,Down,-1.09538383877432,0.0017471989172416
3790,Esrrb,STomics,Kidney,Up,0.835035964299444,0.0017498928865792
3791,Magoh,STomics,Kidney,Down,-0.954004598306165,0.0017498928865792
3792,Slc51b,STomics,Kidney,Down,-0.783144333478888,0.0017498928865792
3793,Gm43667,STomics,Kidney,Down,-0.987521637865768,0.0017498928865792
3794,Mzt2,STomics,Kidney,Down,-1.13266389562263,0.0017498928865792
3795,Pde10a,STomics,Kidney,Up,1.47498683756505,0.0017527277059225
3796,Serpina1f,STomics,Kidney,Up,1.07758833952397,0.0017677595225781
3797,Hsdl2,STomics,Kidney,Down,-0.626674200569102,0.0017677595225781
3798,Hmgcs1,STomics,Kidney,Down,-0.652853938154822,0.0017677595225781
3799,Ddx54,STomics,Kidney,Up,0.596202740111244,0.0017772354050718
3800,Kcne1,STomics,Kidney,Down,-1.87748912036553,0.0017772354050718
3801,Lynx1,STomics,Kidney,Up,0.924694975172146,0.0017875368614125
3802,Cers4,STomics,Kidney,Up,1.12931164534691,0.001809702570556
3803,Capn5,STomics,Kidney,Up,0.82549056179012,0.0018123163308135
3804,Inf2,STomics,Kidney,Up,0.867389225729832,0.0018144854938692
3805,Serpina1d,STomics,Kidney,Up,1.09084805982104,0.0018303988606241
3806,Jarid2,STomics,Kidney,Up,1.22104461265151,0.0018303988606241
3807,Ciao2b,STomics,Kidney,Down,-1.08854090229652,0.0018579807033368
3808,Cebpzos,STomics,Kidney,Down,-1.22080195070623,0.0018589726096096
3809,Fut9,STomics,Kidney,Down,-1.03979641802927,0.0018589726096096
3810,Ces1d,STomics,Kidney,Down,-1.70248357957788,0.0018803593230224
3811,Unc50,STomics,Kidney,Down,-0.825488911197305,0.0019008962912142
3812,Krt8,STomics,Kidney,Up,0.776992062371513,0.0019037167219812
3813,Brox,STomics,Kidney,Down,-0.662755615983416,0.0019074826496297
3814,Erlin1,STomics,Kidney,Down,-1.17963045389569,0.0019216834266864
3815,Cideb,STomics,Kidney,Down,-1.88570848064927,0.0019358024717426
3816,Ntm,STomics,Kidney,Up,2.08066122841978,0.0019375134273026
