"","Ligand.gene.symbol","Receptor.gene.symbol"
"663","Col4a1","Sdc4"
"664","Col4a2","Sdc4"
"665","Col4a3","Sdc4"
"666","Col4a4","Sdc4"
"667","Col4a5","Sdc4"
"668","Col4a6","Sdc4"
"669","Col6a1","Sdc4"
"670","Col6a2","Sdc4"
"671","Col6a3","Sdc4"
"672","Col6a4","Sdc4"
"673","Col6a5","Sdc4"
"674","Col6a6","Sdc4"
"675","Col9a1","Sdc4"
"676","Col9a2","Sdc4"
"677","Col9a3","Sdc4"
"678","Fn1","Sdc4"
"679","Tnc","Sdc4"
"680","Tnr","Sdc4"
"681","Tnn","Sdc4"
"682","Tnxb","Sdc4"
"683","Thbs1","Sdc4"
"684","Thbs2","Sdc4"
"685","Thbs3","Sdc4"
"686","Thbs4","Sdc4"
"687","Comp","Sdc4"
"688","Lama1","Sv2a"
"689","Lama2","Sv2a"
"690","Lama3","Sv2a"
"691","Lama4","Sv2a"
"692","Lama5","Sv2a"
"693","Lamb1","Sv2a"
"694","Lamb2","Sv2a"
"695","Lamb3","Sv2a"
"696","Lamc1","Sv2a"
"697","Lamc2","Sv2a"
"698","Lamc3","Sv2a"
"699","Lama1","Sv2b"
"700","Lama2","Sv2b"
"701","Lama3","Sv2b"
"702","Lama4","Sv2b"
"703","Lama5","Sv2b"
"704","Lamb1","Sv2b"
"705","Lamb2","Sv2b"
"706","Lamb3","Sv2b"
"707","Lamc1","Sv2b"
"708","Lamc2","Sv2b"
"709","Lamc3","Sv2b"
"710","Lama1","Sv2c"
"711","Lama2","Sv2c"
"712","Lama3","Sv2c"
"713","Lama4","Sv2c"
"714","Lama5","Sv2c"
"715","Lamb1","Sv2c"
"716","Lamb2","Sv2c"
"717","Lamb3","Sv2c"
"718","Lamc1","Sv2c"
"719","Lamc2","Sv2c"
"720","Lamc3","Sv2c"
"721","Thbs1","Cd36"
"722","Thbs2","Cd36"
"723","Thbs3","Cd36"
"724","Thbs4","Cd36"
"725","Comp","Cd36"
"726","Vwf","Gp Complex"
"727","Col1a1","Gp6"
"728","Col1a2","Gp6"
"729","Col2a1","Gp6"
"730","Col4a1","Gp6"
"731","Col4a2","Gp6"
"732","Col4a3","Gp6"
"733","Col4a4","Gp6"
"734","Col4a5","Gp6"
"735","Col4a6","Gp6"
"736","Col6a1","Gp6"
"737","Col6a2","Gp6"
"738","Col6a3","Gp6"
"739","Col6a4","Gp6"
"740","Col6a5","Gp6"
"741","Col6a6","Gp6"
"742","Col9a1","Gp6"
"743","Col9a2","Gp6"
"744","Col9a3","Gp6"
"745","Thbs1","Cd47"
"746","Thbs2","Cd47"
"747","Thbs3","Cd47"
"748","Thbs4","Cd47"
"749","Comp","Cd47"
"750","Agrn","Dag1"
"751","Hspg2","Dag1"
"752","Lama1","Dag1"
"753","Lama2","Dag1"
"754","Lama3","Dag1"
"755","Lama4","Dag1"
"756","Lama5","Dag1"
"757","Lamb1","Dag1"
"758","Lamb2","Dag1"
"759","Lamb3","Dag1"
"760","Lamc1","Dag1"
"761","Lamc2","Dag1"
"762","Lamc3","Dag1"
"763","Adgre5","Cd55b"
"764","Alcam","Cd6"
"765","App","Cd74"
"766","Bst2","Pira2"
"767","Cadm1","Cadm1"
"768","Cadm3","Cadm3"
"769","Cd1d2","Pira2"
"770","Cd200","Cd200r1"
"771","Cd200","Cd200r2"
"772","Cd200","Cd200r3"
"773","Cd200","Cd200r4"
"774","Cd22","Ptprc"
"775","Cd226","Nectin2"
"776","Cd226","Pvr"
"777","Fcer2a","Cr2"
"778","Cd34","Selp"
"779","Entpd1","Adora1"
"780","Entpd1","Adora2a"
"781","Entpd1","Adora2b"
"782","Entpd1","Tmigd3"
"783","Cd40lg","Cd40"
"784","Ptprc","Cd22"
"785","Ptprc","Mrc1"
"786","Cd46","Jag1"
"787","Cd48","Cd244a"
"788","Cd52","Siglecg"
"789","Cd6","Alcam"
"790","Cd80","Cd274"
"791","Cd80","Cd28"
"792","Cd80","Ctla4"
"793","Cd86","Cd28"
"794","Cd86","Ctla4"
"795","Cd96","Nectin1"
"796","Cd96","Pvr"
"797","Cd99","Pilra"
"798","Cd99","Cd99"
"799","Cdh15","Cdh15"
"800","Cdh4","Cdh4"
"801","Cdh2","Cdh2"
"802","Cdh1","Cdh1"
"803","Cdh1","Klrg1"
"804","Cdh5","Cdh5"
"805","Cd1d1","Ceacam5"
"806","Cd209a","Ceacam1"
"807","Cd8a","Ceacam5"
"808","Ceacam1","Ceacam5"
"809","Sele","Ceacam1"
"810","Cldn11","Cldn11"
"811","Clec2d","Klrb1b"
"812","Clec2g","Klrb1"
"813","Clec2h","Klrb1"
"814","Clec2i","Klrb1"
"815","Clec2f","Klrb1f"
"816","Clec2g","Klrb1f"
"817","Clec2i","Klrb1f"
"818","Cntn2","L1cam"
"819","Cntn2","Cntn2"
"820","Cntn1","Nrcam"
"821","Dsc1","Dsg1c"
"822","Dsc1","Dsg2"
"823","Dsc2","Dsg1c"
"824","Dsc2","Dsg2"
"825","Dsg1c","Dsc3"
"826","Dsg2","Dsc3"
"827","Epgn","Egfr"
"828","Efna1","Epha1"
"829","Efna1","Epha2"
"830","Efna1","Epha3"
"831","Efna1","Epha4"
"832","Efna1","Epha5"
"833","Efna1","Epha7"
"834","Efna1","Epha8"
"835","Efna2","Epha1"
"836","Efna2","Epha2"
"837","Efna2","Epha3"
"838","Efna2","Epha4"
"839","Efna2","Epha5"
"840","Efna2","Epha7"
"841","Efna2","Epha8"
"842","Efna3","Epha1"
"843","Efna3","Epha2"
"844","Efna3","Epha3"
"845","Efna3","Epha4"
"846","Efna3","Epha5"
"847","Efna3","Epha7"
